what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,,"org.eclipse.ui.edit.copy",1541917896932
activated,editor,org.eclipse.ui.editors,,"org.eclipse.ui.DefaultTextEditor",1541917897520
executed,command,org.eclipse.ui,,"org.eclipse.ui.edit.selectAll",1541917899059
executed,command,org.eclipse.ui,,"org.eclipse.ui.edit.copy",1541917899883
activated,view,org.eclipse.ui.ide,,"org.eclipse.ui.views.ResourceNavigator",1541917902601
opened,editor,org.eclipse.ui.editors,,"org.eclipse.ui.DefaultTextEditor",1541917912600
activated,editor,org.eclipse.ui.editors,,"org.eclipse.ui.DefaultTextEditor",1541917912623
executed,command,org.eclipse.ui,,"org.eclipse.ui.edit.paste",1541917914178
executed,command,org.eclipse.ui,,"org.eclipse.ui.file.save",1541917915195
activated,editor,org.eclipse.ui.editors,,"org.eclipse.ui.DefaultTextEditor",1541917916114
activated,editor,org.eclipse.ui.editors,,"org.eclipse.ui.DefaultTextEditor",1541917916832
closed,editor,org.eclipse.ui.editors,,"org.eclipse.ui.DefaultTextEditor",1541917916839
activated,view,org.eclipse.ui.ide,,"org.eclipse.ui.views.ResourceNavigator",1541917918493
executed,command,org.eclipse.ltk.ui.refactoring,,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1541917922035
activated,editor,org.eclipse.ui.editors,,"org.eclipse.ui.DefaultTextEditor",1541917922932
executed,command,org.eclipse.ui,,"org.eclipse.ui.file.save",1541917941985
closed,view,org.eclipse.wst.server.ui,,"org.eclipse.wst.server.ui.ServersView",1541918419139
closed,view,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.PackageExplorer",1541918419190
closed,view,org.eclipse.ui.ide,,"org.eclipse.ui.views.ResourceNavigator",1541918419208
closed,view,org.eclipse.ui.ide,,"org.eclipse.ui.views.ProblemView",1541918419235
closed,view,org.eclipse.ui.views,,"org.eclipse.ui.views.ContentOutline",1541918419266
closed,editor,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.CompilationUnitEditor",1541918419287
closed,editor,org.eclipse.ui.editors,,"org.eclipse.ui.DefaultTextEditor",1541918419297
closed,editor,org.eclipse.m2e.editor,,"org.eclipse.m2e.editor.MavenPomEditor",1541918419309
closed,editor,org.eclipse.ui.editors,,"org.eclipse.ui.DefaultTextEditor",1541918419336
userinfo,misc,,,"{""account.name"":""nsaw"",""localhost.hostname"":""NSAW-M-R0YR"",""runtime.hostname"":""NSAW-M-R0YR""}",1542258917476
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1542258917479
os,sysinfo,,,"macosx",1542258917483
arch,sysinfo,,,"x86_64",1542258917483
ws,sysinfo,,,"cocoa",1542258917483
locale,sysinfo,,,"en_IN",1542258917483
processors,sysinfo,,,"8",1542258917483
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1542258917483
java.runtime.version,sysinfo,,,"1.8.0_181-b13",1542258917483
java.specification.name,sysinfo,,,"Java Platform API Specification",1542258917483
java.specification.vendor,sysinfo,,,"Oracle Corporation",1542258917483
java.specification.version,sysinfo,,,"1.8",1542258917483
java.vendor,sysinfo,,,"Oracle Corporation",1542258917483
java.version,sysinfo,,,"1.8.0_181",1542258917483
java.vm.info,sysinfo,,,"mixed mode",1542258917483
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1542258917483
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1542258917483
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1542258917483
java.vm.specification.version,sysinfo,,,"1.8",1542258917483
java.vm.vendor,sysinfo,,,"Oracle Corporation",1542258917483
java.vm.version,sysinfo,,,"25.181-b13",1542258917483
os.name,sysinfo,,,"Mac OS X",1542258917483
os.version,sysinfo,,,"10.14",1542258917483
activated,view,org.eclipse.ui.ide,,"org.eclipse.ui.views.ResourceNavigator",1542258966732
opened,editor,org.eclipse.m2e.editor,,"org.eclipse.m2e.editor.MavenPomEditor",1542258968699
activated,editor,org.eclipse.m2e.editor,,"org.eclipse.m2e.editor.MavenPomEditor",1542258968910
activated,view,org.eclipse.ui.ide,,"org.eclipse.ui.views.ResourceNavigator",1542261874933
activated,editor,org.eclipse.m2e.editor,,"org.eclipse.m2e.editor.MavenPomEditor",1542261875270
executed,command,org.eclipse.ui,,"org.eclipse.ui.edit.paste",1542261880286
executed,command,org.eclipse.ui,,"org.eclipse.ui.file.save",1542261894753
activated,view,org.eclipse.ui.ide,,"org.eclipse.ui.views.ResourceNavigator",1542261902143
opened,editor,org.eclipse.m2e.editor,,"org.eclipse.m2e.editor.MavenPomEditor",1542261909318
activated,editor,org.eclipse.m2e.editor,,"org.eclipse.m2e.editor.MavenPomEditor",1542261909381
executed,command,org.eclipse.ui,,"org.eclipse.ui.edit.paste",1542261920738
executed,command,org.eclipse.ui,,"org.eclipse.ui.file.save",1542261922214
executed,command,org.eclipse.ui,,"org.eclipse.ui.edit.cut",1542261929191
executed,command,org.eclipse.ui,,"org.eclipse.ui.edit.paste",1542261931784
executed,command,org.eclipse.ui,,"org.eclipse.ui.file.save",1542261932996
activated,view,org.eclipse.ui.ide,,"org.eclipse.ui.views.ResourceNavigator",1542261957935
activated,editor,org.eclipse.m2e.editor,,"org.eclipse.m2e.editor.MavenPomEditor",1542261959904
activated,view,org.eclipse.ui.ide,,"org.eclipse.ui.views.ProblemView",1542262043423
activated,view,org.eclipse.ui.ide,,"org.eclipse.ui.views.ResourceNavigator",1542262045958
opened,editor,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.CompilationUnitEditor",1542262053004
activated,editor,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.CompilationUnitEditor",1542262053451
activated,view,org.eclipse.ui.ide,,"org.eclipse.ui.views.ResourceNavigator",1542262419384
activated,editor,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.CompilationUnitEditor",1542262419703
executed,command,org.eclipse.ui,,"org.eclipse.ui.file.save",1542262423617
activated,view,org.eclipse.ui.ide,,"org.eclipse.ui.views.ResourceNavigator",1542262428281
activated,editor,org.eclipse.m2e.editor,,"org.eclipse.m2e.editor.MavenPomEditor",1542262428844
activated,view,org.eclipse.ui.ide,,"org.eclipse.ui.views.ResourceNavigator",1542262433351
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1543989329138
os,sysinfo,,,"macosx",1543989329141
arch,sysinfo,,,"x86_64",1543989329141
ws,sysinfo,,,"cocoa",1543989329141
locale,sysinfo,,,"en_IN",1543989329141
processors,sysinfo,,,"8",1543989329141
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1543989329141
java.runtime.version,sysinfo,,,"1.8.0_181-b13",1543989329141
java.specification.name,sysinfo,,,"Java Platform API Specification",1543989329141
java.specification.vendor,sysinfo,,,"Oracle Corporation",1543989329141
java.specification.version,sysinfo,,,"1.8",1543989329141
java.vendor,sysinfo,,,"Oracle Corporation",1543989329141
java.version,sysinfo,,,"1.8.0_181",1543989329141
java.vm.info,sysinfo,,,"mixed mode",1543989329141
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1543989329141
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1543989329141
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1543989329141
java.vm.specification.version,sysinfo,,,"1.8",1543989329141
java.vm.vendor,sysinfo,,,"Oracle Corporation",1543989329141
java.vm.version,sysinfo,,,"25.181-b13",1543989329141
os.name,sysinfo,,,"Mac OS X",1543989329141
os.version,sysinfo,,,"10.14.1",1543989329141
userinfo,misc,,,"{""account.name"":""nsaw"",""localhost.hostname"":""NSAW-M-R0YR"",""runtime.hostname"":""NSAW-M-R0YR""}",1543989329347
opened,view,org.eclipse.tigerstripe.workbench.ui.base,,"org.eclipse.tigerstripe.workbench.views.artifactExplorerViewNew",1543989373647
opened,view,org.eclipse.ui.ide,,"org.eclipse.ui.views.ProblemView",1543989373860
activated,editor,org.eclipse.ui.editors,,"org.eclipse.ui.DefaultTextEditor",1543989373899
activated,perspective,org.eclipse.tigerstripe.workbench.ui.base,,"org.eclipse.tigerstripe.community.tigerstripePerspective",1543989373916
opened,editor,org.eclipse.tigerstripe.workbench.ui.base,,"org.eclipse.tigerstripe.workbench.ui.eclipse.editors.descriptorEditor",1543989374837
activated,editor,org.eclipse.tigerstripe.workbench.ui.base,,"org.eclipse.tigerstripe.workbench.ui.eclipse.editors.descriptorEditor",1543989374875
activated,view,org.eclipse.tigerstripe.workbench.ui.base,,"org.eclipse.tigerstripe.workbench.views.artifactExplorerViewNew",1543989380445
opened,editor,org.eclipse.tigerstripe.workbench.ui.base,,"org.eclipse.tigerstripe.workbench.ui.eclipse.editors.ossj.entityEditor",1543989409514
activated,editor,org.eclipse.tigerstripe.workbench.ui.base,,"org.eclipse.tigerstripe.workbench.ui.eclipse.editors.ossj.entityEditor",1543989409539
activated,view,org.eclipse.tigerstripe.workbench.ui.base,,"org.eclipse.tigerstripe.workbench.views.artifactExplorerViewNew",1543989683606
activated,editor,org.eclipse.tigerstripe.workbench.ui.base,,"org.eclipse.tigerstripe.workbench.ui.eclipse.editors.ossj.entityEditor",1543989688105
activated,view,org.eclipse.tigerstripe.workbench.ui.base,,"org.eclipse.tigerstripe.workbench.views.artifactExplorerViewNew",1543989695634
activated,editor,org.eclipse.tigerstripe.workbench.ui.base,,"org.eclipse.tigerstripe.workbench.ui.eclipse.editors.ossj.entityEditor",1543989716215
activated,view,org.eclipse.tigerstripe.workbench.ui.base,,"org.eclipse.tigerstripe.workbench.views.artifactExplorerViewNew",1543992499163
opened,editor,org.eclipse.tigerstripe.workbench.ui.base,,"org.eclipse.tigerstripe.workbench.ui.eclipse.editors.ossj.entityEditor",1543992512080
activated,editor,org.eclipse.tigerstripe.workbench.ui.base,,"org.eclipse.tigerstripe.workbench.ui.eclipse.editors.ossj.entityEditor",1543992512121
executed,command,org.eclipse.ui,,"org.eclipse.ui.file.save",1543992596952
activated,view,org.eclipse.tigerstripe.workbench.ui.base,,"org.eclipse.tigerstripe.workbench.views.artifactExplorerViewNew",1543992597802
activated,editor,org.eclipse.tigerstripe.workbench.ui.base,,"org.eclipse.tigerstripe.workbench.ui.eclipse.editors.ossj.entityEditor",1543992598222
executed,command,org.eclipse.ui,,"org.eclipse.ui.file.save",1543992652485
activated,view,org.eclipse.tigerstripe.workbench.ui.base,,"org.eclipse.tigerstripe.workbench.views.artifactExplorerViewNew",1543992688870
activated,editor,org.eclipse.tigerstripe.workbench.ui.base,,"org.eclipse.tigerstripe.workbench.ui.eclipse.editors.ossj.entityEditor",1543992690060
executed,command,org.eclipse.ui,,"org.eclipse.ui.edit.copy",1543992693499
activated,view,org.eclipse.tigerstripe.workbench.ui.base,,"org.eclipse.tigerstripe.workbench.views.artifactExplorerViewNew",1543992694542
activated,editor,org.eclipse.tigerstripe.workbench.ui.base,,"org.eclipse.tigerstripe.workbench.ui.eclipse.editors.ossj.entityEditor",1543992694936
executed,command,org.eclipse.ui,,"org.eclipse.ui.edit.paste",1543992696244
activated,view,org.eclipse.tigerstripe.workbench.ui.base,,"org.eclipse.tigerstripe.workbench.views.artifactExplorerViewNew",1543994623102
